team_id,player_id,name,surname,position,date_of_birth
1,1,Luis,Suarez,cb,2016-01-03
1,2,Gerard,Pique,cb,2016-01-03
1,3,Lionel,Messi,cb,2016-01-03
1,4,Ivan,Rakitic,cb,2016-01-03
1,5,Dani,Alves,cb,2016-01-03
1,6,Claudio,Bravo,cb,2016-01-03
1,7,Neymar,Silva,cb,2016-01-03
1,8,Marc,Bartra,cb,2016-01-03
1,9,Adriano,Correira,cb,2016-01-03
1,10,Sergio,Busquets,cb,2016-01-03
1,11,Andres,Iniesta,cb,2016-01-03
2,12,Edgar,Barreto,cb,2016-01-03
2,13,Mattia,Cassani,cb,2016-01-03
2,14,Lazaros,Christodoulopoulos,cb,2016-01-03
2,15,Eder,Lopez,cb,2016-01-03
2,16,Antonio,Cassano,cb,2016-01-03
2,17,Vasco,Regini,cb,2016-01-03
2,18,Niklas,Moisander,cb,2016-01-03
2,19,Emiliano,Viviano,cb,2016-01-03
2,20,Matias,Silvestre,cb,2016-01-03
2,21,Fernando,Martins,cb,2016-01-03
2,22,Roberto,Soriano,cb,2016-01-03
3,23,Eden,Hazard,cb,2016-01-03
3,24,Oscar,Santos,cb,2016-01-03
3,25,Diego,Costa,cb,2016-01-03
3,26,Willian,Borges,cb,2016-01-03
3,27,Gary,Cahill,cb,2016-01-03
3,28,Cesc,Fabregas,cb,2016-01-03
3,29,John,Terry,cb,2016-01-03
3,30,Branislav,Ivanovic,cb,2016-01-03
3,31,Nemanja,Matic,cb,2016-01-03
3,32,Cesar,Azpilicueta,cb,2016-01-03
3,33,Thibaut,Courtois,cb,2016-01-03
4,34,Jerome,Boateng,cb,2016-01-03
4,35,Thiago,Alcantara,cb,2016-01-03
4,36,Robert,Lewandowski,cb,2016-01-03
4,37,Franck,Ribery,cb,2016-01-03
4,38,Xabi,Alonso,cb,2016-01-03
4,39,Arturo,Vidal,cb,2016-01-03
4,40,Holger,Badstuber,cb,2016-01-03
4,41,Arjen,Robben,cb,2016-01-03
4,42,Phillip,Lahm,cb,2016-01-03
4,43,Manuel,Neuer,cb,2016-01-03
4,44,David,Alaba,cb,2016-01-03
5,45,Geoff,Cameron,cb,2016-01-03
5,46,Marko,Arnautović,cb,2016-01-03
5,47,Marco,vanGinkel,cb,2016-01-03
5,48,Philipp,Wollscheid,cb,2016-01-03
5,49,Glenn,Whelan,cb,2016-01-03
5,50,Ibrahim,Afellay,cb,2016-01-03
5,51,Erik,Pieters,cb,2016-01-03
5,52,Ryan,Shawcross,cb,2016-01-03
5,53,Bojan,Krkic,cb,2016-01-03
5,54,Jack,Butland,cb,2016-01-03
5,55,Glen,Johnson,cb,2016-01-03
